,AAPL,ABBV,ABB,ABT,ACN,ADBE,ADI,ADP,AIR,ALV,AMAT,AMD,AMGN,AMT,AMZN,ASML,ASX,AVGO,AXP,AZN,BABA,BAC,BA,BDX,BHP,BKNG,BKR,BLK,BMY,BP,BSX,BTI,BUD,BX,CAT,CB,CFR,CI,CMCSA,CNI,COP,COST,CP,CRM,CSCO,CSL,CVS,CVX,C,DEO,DE,DHR,DIS,DTE,ELV,EL,EOG,EQNR,ETN,GE,GILD,GOOG,GS,HCA,HDB,HD,HON,HSBC,IBM,IBN,IDEX,INTC,INTU,ISRG,ITW,JNJ,JPM,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MC,MDLZ,MDT,META,MMC,MO,MRK,MSFT,MS,MUFG,MU,NEE,NFLX,NKE,NOW,NVDA,NVO,NVR,NVS,ORCL,PANW,PBR,PDD,PEP,PFE,PG,PLD,PM,PYPL,QCOM,SAP,SBUX,SCHW,SHEL,SHOP,SLB,SNY,SONY,SO,SYK,TD,TJX,TMO,TMUS,TM,TSLA,TSM,TTE,TXN,T,UL,UNH,UNP,UPS,VRTX,VZ,V,WFC,WMT,XOM,ZTS,ADA,BAT,BCH,BNT,BSV,BTC,DAI,DASH,DOGE,EOS,ETC,ETH,LTC,NEO,OMG,QTUM,REP,TRX,USDT,UST,XLM,XMR,XRP,XTZ,XVG,ZEC,ZRX,CIBR,DIA,DJD,DJP,DVY,FDLO,FDN,FNGU,FTXO,IBB,IDU,IEO,IJH,IJJ,IJK,IJR,IJS,IJT,ITB,ITOT,IUSG,IVE,IWB,IWM,IWV,IYE,IYF,IYJ,IYR,IYT,IYW,IYY,KBWB,OEF,ONEQ,PNQI,QQQ,QTEC,QYLD,ROBT,RPG,RPV,SLYG,SLYV,SLY,SOXX,SPY,SVXY,XTN
const,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031406443242865757,0.00035489473588110634,0.0,0.0,0.0,0.0,0.0003080325252216635,0.00019055084156729285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001697928054275407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003055071917450046,0.0,0.0003136806896779943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002910585562772158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028101767521984114,0.0,0.0,0.00026685948455959903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026700913270547206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000341567675327792,0.0,0.0001925537578173328,0.0002936439340309613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017898485285173347,0.0,0.0,0.0,0.0,0.0005772890306189758,0.00038110352158671223,0.0,0.00022366385550966737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009187365058624761,0.0,0.0,0.0,0.0,0.0008872251557110322,0.0,0.0,0.0,0.0,0.0,0.0010119190816256884,0.0008509988520339902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016520441203151057,0.0,0.0,0.00012910975593733316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016323132704634282,0.0,0.000154003388377919,0.00022342752535024698,0.00022732762623971266,0.000211048907689978,0.0,0.0,0.0,0.0,0.0,0.000223751751402307,0.0,0.0,0.0,0.0,0.0,0.00016428585866030916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022330843082368665,0.0,0.0,0.00021788963772645612,0.0002203518368243926,0.0002094309077432405,0.00022347744325408928,0.0,0.0,0.0
L1.AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19617429745338483,0.0,-0.26609622527506926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3484703367028246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.250198357277796,0.0,-0.28634675912930063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2982500353507384,0.0,0.21594981197487956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1606526556919437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2290580994363678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2936882259460256,-0.18452509539312129,0.0,0.0,0.0,0.0,0.0,0.0,0.2161303899770225,0.0,0.0,-0.3654908646060821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10118781160927166,0.0,0.0,0.17798582942628943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6538684409053921,0.0,-0.8584588629160418,-2.3110407570035405,0.0,0.0,0.0,-0.6099407438717221,0.0,0.0,0.0,0.0,-0.8424064513593107,0.0,0.0,0.0,-0.764894277553563,0.0,0.0,-2.440941226144101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21245526276502316,0.0,0.0,0.1026649871877932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ABBV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12951548951541939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13436200207582386,0.0,0.0,0.0,-0.09387944084702718,0.0,-0.1485905710439777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06412512161469056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08269142286921138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11311076893594812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15003706848239123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0939940612849035,0.0,0.0,0.0,0.0,-0.23328114483109175,0.0,0.0,0.0,0.0,-0.17079165858924197,0.0,0.0,-0.07575694340897121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3053617382931495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3319595125378656,-0.3439676483863412,-0.46855640770790913,-0.2959986437358648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4552783148415678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07340866969905303,-0.0850063986056947,0.0,-0.08681686604997586,-0.10560088485027877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07226917253836464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0787011198161486,0.0,-0.09070311583898914,-0.10558170307315293,0.0,0.0,0.0
L1.ABB,0.0,0.0,0.0,0.0,0.0,0.0,-0.1315556343645953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09911036042706275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14058779012535993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09583711493547506,0.0,-0.18697990023838268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21429405891837722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12184430614924302,0.0,0.0,0.0,-0.15117166116556074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15467018835594107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0879931978489858,-0.09709624983728529,0.0,0.0,0.0,0.0,0.0,-0.06574774203040115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13267062151259537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10192052105575493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ABT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19662112199936455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07986620161076953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07199302630913718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21386984858916547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08782289397204061,0.0,0.0,0.0,0.0,0.0,0.0,-0.30693265316377333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ACN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0928110683270118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1484508951267125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06912588667774508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08924011428112787,0.0,0.0,0.0,0.0,0.0,-0.1658454695815435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13192159567055214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19684573857873622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26012943101071806,0.0,0.0,0.0,0.0,-0.0770930405000802,0.0,0.0,-0.12037480745802727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48266516475248655,0.0,0.2915200210083545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39736596514223455,0.0,0.0,0.0,0.0,0.0,0.0,-0.013842565138402891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08457864849544255,-0.06955902590602221,-0.08565886140247453,-0.10483622811267206,-0.10009958546760644,-0.1480835546413683,0.0,0.0,0.0,0.0,-0.076845485244458,0.0,0.0,0.0,0.0,-0.07300965358066344,0.0,0.0,-0.0595885198339444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06614610127850577,0.0,0.0,-0.09762034248190331,-0.10119266186232646,-0.08976217040953972,0.0,0.0,0.0,0.0
L1.ADBE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1719667252451566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10773099627951768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08980209550248318,0.0,0.0,0.10264360045413226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0874113490804479,0.0,0.0,0.0,0.0,0.0,-0.09750185661106812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15511158158917596,0.0,-0.15875236767275838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10565471592554482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011729494644318392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ADI,0.0,0.0,0.0,-0.12137536269764518,0.0,0.0,0.11949546067911604,0.0,0.0,0.0,0.0,0.0,0.0,0.14526172097148135,0.0,0.0,0.14958142988518264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21040525681967706,0.0,0.0,0.0,0.0,0.0,0.0,0.2084799234682804,0.0,0.0,0.0,0.0,0.0,0.14652486797231537,0.0,0.0,0.0,0.09629278662881026,0.0,0.0,0.0,0.0,0.0,0.15064362219860583,0.0,0.0,-0.08627525619631662,0.1451690263785979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11583712845406471,0.11871309998996289,0.0,0.0,0.0,0.0,0.16000903960988358,0.0,0.0,0.0,0.0,0.14190838029196376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903389831469866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13664429327050576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12200329178232422,0.0,0.0,0.0,0.0,0.0,0.16636649239756585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08943298675288684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9949032233661604,1.436400508993699,0.0,0.0,0.09448868833197724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06562845477631513,0.0,0.0,0.0,0.09273013034018297,0.0,0.0,0.0,0.09426015434424202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10816316614739792
L1.ADP,0.0,0.0,0.0,-0.10033323715802547,0.0,0.0,0.0,0.0,0.21624655385351493,0.0,0.11039468941921035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10311238599995884,0.0,0.0,0.0,0.0,0.1767865651634191,0.0,0.0,0.12223088508806138,-0.07971873454762425,0.0,0.0,0.14152545144238876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13150711439045584,0.0,0.10444758740964571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1006005272824353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13072807027149777,0.0,0.11303838212318701,0.0,0.0,0.0,-0.16052820053189537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09455769343790925,0.0,0.0,0.0,0.0,0.0,0.10214935094700425,0.0,0.0681141530953095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11863894962905827,0.0,0.10505455448267954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11353020082024368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061696420261646415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10014215190073258
L1.AIR,0.08527573253957296,0.0,0.0,0.0,0.0,0.05412037343983601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0620591710446663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0727772611244894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04247336159816902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06913300392973182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056915000178399296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05260746806193698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06604422080210065,0.0,0.0,0.0,0.0,0.0,0.0,0.05859467143182242,0.0,0.0,0.0,0.04169914838834611,0.06940539368412628,0.05505366133540615,0.05748579615919494,0.0,0.0,0.0,0.0,0.0,0.07150059695830298,0.0,0.0,0.0,0.0,0.02422783744354846,0.05486559679879795,0.0,0.0641253386772147,0.0,0.0,0.0,0.0,0.0,0.07625978785847953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11431326545138795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05695750312361748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05529252768263415,0.0,0.0,0.0,0.0,0.0,0.043449528399553516,0.1646246056559041,0.0,0.035834208030962864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026410457163875335,0.03476699474382438,0.0,0.026024249749014343,0.0,0.025437178614995608,0.0,0.0,0.0,0.0,0.0,0.047356742524909276,0.02506689336197142,0.0,0.027291266615425396,0.0,0.03974601064871459,0.04212482121596742,0.03189227534210996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02476648943836314,0.0,0.0
